win_start	win_end	target_start	target_end	query_start	query_end
115720000	115730000	115720963	115721331	115838950	115839318
115720000	115730000	115721331	115721691	115839319	115839679
115720000	115730000	115721693	115721798	115839681	115839786
115720000	115730000	115721790	115722071	115839777	115840058
115720000	115730000	115722051	115722549	115840040	115840538
115720000	115730000	115722551	115722929	115840540	115840918
115720000	115730000	115722931	115723228	115840920	115841217
115720000	115730000	115723230	115723463	115841219	115841452
115720000	115730000	115723465	115723590	115841454	115841579
115720000	115730000	115723592	115723858	115841581	115841847
115720000	115730000	115723860	115723986	115841849	115841975
115720000	115730000	115723988	115724243	115841977	115842232
115720000	115730000	115724245	115725230	115842234	115843219
115720000	115730000	115725232	115725532	115843221	115843521
115720000	115730000	115725593	115725775	115843339	115843521
115720000	115730000	115725360	115725532	115846330	115846502
115720000	115730000	115725603	115725775	115846330	115846502
115720000	115730000	115725360	115725532	115849311	115849483
115720000	115730000	115725603	115725775	115849311	115849483
115720000	115730000	115725360	115725532	115852294	115852466
115720000	115730000	115725603	115725775	115852294	115852466
115720000	115730000	115725360	115725532	115855273	115855445
115720000	115730000	115725603	115725775	115855273	115855445
115720000	115730000	115725360	115725532	115858264	115858436
115720000	115730000	115725603	115725775	115858264	115858436
115720000	115730000	115725360	115725532	115861255	115861427
115720000	115730000	115725603	115725775	115861255	115861427
115720000	115730000	115725360	115725532	115864238	115864410
115720000	115730000	115725603	115725775	115864238	115864410
115720000	115730000	115725360	115725532	115867223	115867395
115720000	115730000	115725603	115725775	115867223	115867395
115720000	115730000	115725360	115725532	115870202	115870374
115720000	115730000	115725603	115725775	115870202	115870374
115720000	115730000	115725360	115725532	115873189	115873361
115720000	115730000	115725603	115725775	115873189	115873361
115720000	115730000	115725360	115725532	115876158	115876330
115720000	115730000	115725603	115725775	115876158	115876330
115720000	115730000	115725360	115725532	115879151	115879323
115720000	115730000	115725603	115725775	115879151	115879323
115720000	115730000	115725360	115725532	115882160	115882332
115720000	115730000	115725603	115725775	115882160	115882332
115720000	115730000	115725360	115725532	115885149	115885321
115720000	115730000	115725603	115725775	115885149	115885321
115720000	115730000	115725360	115725532	115887231	115887403
115720000	115730000	115725603	115725775	115887231	115887403
115720000	115730000	115728575	115728627	115950213	115950265
115720000	115730000	115728981	115729063	115950619	115950701
115720000	115730000	115726018	115726093	115950626	115950701
115720000	115730000	115729094	115729143	115950732	115950781
115720000	115730000	115728577	115728627	115958305	115958355
115720000	115730000	115727361	115727424	115889368	115889305
115720000	115730000	115727426	115727543	115889303	115889186
115720000	115730000	115727545	115727992	115889184	115888737
115720000	115730000	115727974	115728095	115888750	115888629
115720000	115730000	115728121	115728345	115888603	115888379
115720000	115730000	115728347	115728479	115888377	115888245
115720000	115730000	115728478	115728588	115888245	115888135
115720000	115730000	115728590	115729716	115888133	115887007
115720000	115730000	115726018	115726138	115887735	115887615
115720000	115730000	115726210	115726270	115887544	115887484
115720000	115730000	115726269	115726662	115887484	115887091
115720000	115730000	115726756	115727308	115887005	115886453
115720000	115730000	115727282	115727632	115886487	115886137
115720000	115730000	115728501	115729596	115886140	115885045
115720000	115730000	115726018	115726138	115885653	115885533
115720000	115730000	115726210	115726270	115885462	115885402
115720000	115730000	115726269	115726626	115885402	115885045
115720000	115730000	115726646	115727316	115885025	115884355
115720000	115730000	115727274	115727581	115884393	115884086
115720000	115730000	115727583	115727724	115884084	115883943
115720000	115730000	115727726	115727967	115883941	115883700
115720000	115730000	115727974	115728095	115883678	115883557
115720000	115730000	115728165	115728915	115883487	115882737
115720000	115730000	115728932	115729620	115882720	115882032
115720000	115730000	115726018	115726138	115882664	115882544
115720000	115730000	115726210	115726270	115882473	115882413
115720000	115730000	115726269	115726650	115882413	115882032
115720000	115730000	115726642	115727316	115882024	115881350
115720000	115730000	115727274	115727376	115881384	115881282
115720000	115730000	115727426	115727967	115881232	115880691
115720000	115730000	115727974	115728095	115880669	115880548
115720000	115730000	115728165	115728915	115880478	115879728
115720000	115730000	115728917	115729620	115879726	115879023
115720000	115730000	115726018	115726138	115879655	115879535
115720000	115730000	115726210	115726270	115879464	115879404
115720000	115730000	115726269	115726650	115879404	115879023
115720000	115730000	115726642	115727308	115879015	115878349
115720000	115730000	115727282	115727376	115878383	115878289
115720000	115730000	115727426	115727967	115878239	115877698
115720000	115730000	115727974	115728095	115877676	115877555
115720000	115730000	115728165	115728915	115877485	115876735
115720000	115730000	115728917	115729578	115876733	115876072
115720000	115730000	115726018	115726138	115876662	115876542
115720000	115730000	115726210	115726270	115876471	115876411
115720000	115730000	115726269	115726608	115876411	115876072
115720000	115730000	115726648	115727308	115876040	115875380
115720000	115730000	115727282	115727376	115875414	115875320
115720000	115730000	115727426	115727967	115875270	115874729
115720000	115730000	115727974	115728095	115874707	115874586
115720000	115730000	115728165	115728915	115874516	115873766
115720000	115730000	115728917	115729312	115873764	115873369
115720000	115730000	115726018	115726138	115873693	115873573
115720000	115730000	115726210	115726270	115873502	115873442
115720000	115730000	115726269	115726342	115873442	115873369
115720000	115730000	115729314	115729632	115873367	115873049
115720000	115730000	115726344	115726673	115873367	115873038
115720000	115730000	115726640	115727188	115873069	115872521
115720000	115730000	115727190	115727376	115872519	115872333
115720000	115730000	115727426	115727967	115872283	115871742
115720000	115730000	115727974	115728095	115871720	115871599
115720000	115730000	115728165	115728915	115871529	115870779
115720000	115730000	115728917	115729632	115870777	115870062
115720000	115730000	115726018	115726138	115870706	115870586
115720000	115730000	115726210	115726270	115870515	115870455
115720000	115730000	115726269	115726671	115870455	115870053
115720000	115730000	115726642	115727188	115870084	115869538
115720000	115730000	115727190	115727312	115869536	115869414
115720000	115730000	115727278	115727376	115869452	115869354
115720000	115730000	115727426	115727967	115869304	115868763
115720000	115730000	115727974	115728095	115868741	115868620
115720000	115730000	115728165	115728915	115868550	115867800
115720000	115730000	115728917	115729632	115867798	115867083
115720000	115730000	115726018	115726138	115867727	115867607
115720000	115730000	115726210	115726270	115867536	115867476
115720000	115730000	115726269	115726673	115867476	115867072
115720000	115730000	115726640	115727308	115867097	115866429
115720000	115730000	115727282	115727376	115866463	115866369
115720000	115730000	115727426	115727967	115866319	115865778
115720000	115730000	115727974	115728095	115865756	115865635
115720000	115730000	115728165	115728915	115865565	115864815
115720000	115730000	115728917	115729632	115864813	115864098
115720000	115730000	115726018	115726138	115864742	115864622
115720000	115730000	115726210	115726270	115864551	115864491
115720000	115730000	115726269	115726671	115864491	115864089
115720000	115730000	115729634	115729923	115864090	115863801
115720000	115730000	115726642	115726961	115864120	115863801
115720000	115730000	115726963	115727376	115863799	115863386
115720000	115730000	115727426	115727967	115863336	115862795
115720000	115730000	115727974	115728095	115862773	115862652
115720000	115730000	115728165	115728915	115862582	115861832
115720000	115730000	115728917	115729632	115861830	115861115
115720000	115730000	115726018	115726138	115861759	115861639
115720000	115730000	115726210	115726270	115861568	115861508
115720000	115730000	115726269	115726673	115861508	115861104
115720000	115730000	115726640	115727188	115861135	115860587
115720000	115730000	115727190	115727316	115860585	115860459
115720000	115730000	115727274	115727376	115860497	115860395
115720000	115730000	115727426	115727967	115860345	115859804
115720000	115730000	115727974	115728095	115859782	115859661
115720000	115730000	115728165	115728915	115859591	115858841
115720000	115730000	115728917	115729312	115858839	115858444
115720000	115730000	115726018	115726138	115858768	115858648
115720000	115730000	115726210	115726270	115858577	115858517
115720000	115730000	115726269	115726342	115858517	115858444
115720000	115730000	115729314	115729632	115858442	115858124
115720000	115730000	115726344	115726673	115858442	115858113
115720000	115730000	115726640	115727265	115858144	115857519
115720000	115730000	115727274	115727376	115857506	115857404
115720000	115730000	115727426	115727581	115857354	115857199
115720000	115730000	115727583	115727724	115857197	115857056
115720000	115730000	115727726	115727967	115857054	115856813
115720000	115730000	115727974	115728095	115856791	115856670
115720000	115730000	115728165	115728915	115856600	115855850
115720000	115730000	115728917	115729632	115855848	115855133
115720000	115730000	115726018	115726138	115855777	115855657
115720000	115730000	115726210	115726270	115855586	115855526
115720000	115730000	115726269	115726671	115855526	115855124
115720000	115730000	115726642	115727312	115855155	115854485
115720000	115730000	115727278	115727376	115854523	115854425
115720000	115730000	115727426	115727967	115854375	115853834
115720000	115730000	115727974	115728095	115853812	115853691
115720000	115730000	115728165	115728321	115853621	115853465
115720000	115730000	115728323	115728915	115853463	115852871
115720000	115730000	115728917	115729632	115852869	115852154
