win_start	win_end	target_start	target_end	query_start	query_end
23550000	23560000	23550048	23552581	26120569	26118036
23550000	23560000	23552734	23554319	26117883	26116298
2770000	2780000	2771619	2771710	12487546	12487455
2770000	2780000	2771712	2771771	12487453	12487394
2770000	2780000	2771849	2771985	12487316	12487180
2770000	2780000	2771987	2772048	12487178	12487117
2770000	2780000	2772059	2772150	12487106	12487015
2770000	2780000	2772918	2773022	12486245	12486141
2770000	2780000	2774675	2774746	12484795	12484724
9380000	9390000	9385623	9386617	9454178	9455172
9380000	9390000	9386619	9387646	9455174	9456201
9380000	9390000	9387643	9388353	9456197	9456907
9380000	9390000	9388355	9389444	9456909	9457998
9380000	9390000	9389439	9389490	9457992	9458043
9380000	9390000	9380003	9380069	9468883	9468949
9380000	9390000	9380116	9380320	9468994	9469198
9380000	9390000	9380322	9380904	9469200	9469782
9380000	9390000	9380914	9381000	9469796	9469882
9380000	9390000	9381002	9381282	9469884	9470164
9380000	9390000	9381284	9381460	9470166	9470342
9380000	9390000	9381462	9382399	9470344	9471281
9380000	9390000	9382401	9382697	9471283	9471579
9380000	9390000	9382699	9382752	9471581	9471634
9380000	9390000	9382793	9382932	9471675	9471814
9380000	9390000	9382934	9383119	9471816	9472001
9380000	9390000	9383160	9383268	9472042	9472150
9380000	9390000	9383269	9383322	9472148	9472201
9380000	9390000	9383347	9384086	9472226	9472965
9380000	9390000	9384104	9384735	9472967	9473598
9380000	9390000	9385784	9386376	9474648	9475240
9380000	9390000	9386391	9386570	9475255	9475434
9380000	9390000	9386572	9387196	9475436	9476060
9380000	9390000	9387198	9387254	9476062	9476118
9380000	9390000	9387256	9387646	9476120	9476510
9380000	9390000	9387643	9387842	9476506	9476705
9380000	9390000	9387844	9388078	9476707	9476941
9380000	9390000	9388080	9389566	9476943	9478429
9380000	9390000	9380322	9381092	9489532	9490302
9380000	9390000	9381094	9381143	9490304	9490353
9380000	9390000	9381145	9381758	9490355	9490968
9380000	9390000	9381760	9382237	9490970	9491447
9380000	9390000	9382239	9382375	9491449	9491585
9380000	9390000	9382377	9382671	9491587	9491881
9380000	9390000	9382673	9382790	9491883	9492000
9380000	9390000	9382815	9382932	9492025	9492142
9380000	9390000	9382934	9383043	9492144	9492253
9380000	9390000	9383045	9383158	9492255	9492368
9380000	9390000	9383160	9383895	9492370	9493105
9380000	9390000	9383895	9384062	9493104	9493271
9380000	9390000	9384106	9384735	9493273	9493902
9380000	9390000	9385623	9386617	9494789	9495783
9380000	9390000	9386619	9387254	9495785	9496420
9380000	9390000	9387256	9387646	9496422	9496812
9380000	9390000	9387643	9387914	9496808	9497079
9380000	9390000	9387923	9388115	9497088	9497280
9380000	9390000	9388117	9388353	9497282	9497518
9380000	9390000	9388355	9389444	9497520	9498609
9380000	9390000	9389439	9389490	9498603	9498654
9380000	9390000	9380322	9380928	9509814	9510420
9380000	9390000	9380930	9381143	9510422	9510635
9380000	9390000	9381145	9381460	9510637	9510952
9380000	9390000	9381462	9381759	9510954	9511251
9380000	9390000	9381761	9382172	9511252	9511663
9380000	9390000	9382174	9382375	9511665	9511866
9380000	9390000	9382377	9382606	9511868	9512097
9380000	9390000	9382602	9382697	9512094	9512189
9380000	9390000	9382699	9382752	9512191	9512244
9380000	9390000	9382815	9382932	9512306	9512423
9380000	9390000	9382934	9383070	9512425	9512561
9380000	9390000	9383160	9383322	9512651	9512813
9380000	9390000	9383324	9383994	9512815	9513485
9380000	9390000	9383996	9384094	9513487	9513585
9380000	9390000	9384064	9385573	9513543	9515052
9380000	9390000	9386069	9386149	9515547	9515627
9380000	9390000	9386151	9386376	9515629	9515854
9380000	9390000	9386378	9386570	9515856	9516048
9380000	9390000	9386572	9386995	9516050	9516473
9380000	9390000	9387008	9387405	9516486	9516883
9380000	9390000	9387407	9387646	9516885	9517124
9380000	9390000	9387643	9388115	9517120	9517592
9380000	9390000	9388117	9388884	9517594	9518361
9380000	9390000	9388886	9389581	9518363	9519058
9380000	9390000	9380797	9380904	9530602	9530709
9380000	9390000	9380920	9382088	9530721	9531889
9380000	9390000	9382117	9382190	9531917	9531990
9380000	9390000	9382239	9382375	9532039	9532175
9380000	9390000	9382377	9382697	9532177	9532497
9380000	9390000	9382793	9382932	9532593	9532732
9380000	9390000	9382934	9383119	9532734	9532919
9380000	9390000	9383160	9383268	9532960	9533068
9380000	9390000	9383269	9383322	9533066	9533119
9380000	9390000	9383324	9383990	9533121	9533787
9380000	9390000	9383996	9384095	9533793	9533892
9380000	9390000	9384142	9384515	9533927	9534300
9380000	9390000	9386035	9386149	9535819	9535933
9380000	9390000	9386151	9386570	9535935	9536354
9380000	9390000	9386572	9387291	9536356	9537075
9380000	9390000	9387293	9387391	9537077	9537175
9380000	9390000	9387393	9387449	9537177	9537233
9380000	9390000	9387451	9387541	9537235	9537325
9380000	9390000	9387770	9387829	9537553	9537612
9380000	9390000	9388414	9388493	9538248	9538327
9380000	9390000	9388573	9388634	9538407	9538468
9380000	9390000	9388635	9388696	9538468	9538529
9380000	9390000	9388848	9388904	9538682	9538738
9380000	9390000	9388940	9388998	9538774	9538832
9380000	9390000	9389010	9389122	9538844	9538956
9380000	9390000	9389135	9389382	9538969	9539216
9380000	9390000	9380513	9380592	9550488	9550567
9380000	9390000	9386785	9386919	9557271	9557405
9380000	9390000	9386957	9387030	9557443	9557516
9380000	9390000	9387075	9387160	9557565	9557650
9380000	9390000	9387643	9387717	9558147	9558221
9380000	9390000	9388037	9388088	9558543	9558594
9380000	9390000	9386789	9386865	21621086	21621010
9380000	9390000	9389111	9389171	21618793	21618733
9380000	9390000	9388149	9388201	21425936	21425884
9380000	9390000	9387099	9387165	10059001	10058935
9380000	9390000	9386052	9386133	9901916	9901835
9380000	9390000	9386151	9386200	9901817	9901768
9380000	9390000	9386251	9386313	9901717	9901655
9380000	9390000	9386716	9386853	9901251	9901114
9380000	9390000	9387516	9387578	9900433	9900371
9380000	9390000	9388037	9388088	9899907	9899856
9380000	9390000	9388149	9388199	9899795	9899745
40000	50000	40042	40138	238330	238426
40000	50000	42238	42333	238331	238426
40000	50000	43823	43996	238330	238503
40000	50000	40141	40218	238429	238506
