win_start	win_end	target_start	target_end	query_start	query_end
53070000	53080000	53075108	53075168	53486707	53486647
53070000	53080000	53075108	53075168	53449587	53449527
53070000	53080000	53075108	53075168	53402140	53402080
53070000	53080000	53075108	53075168	53375845	53375785
5270000	5280000	5277915	5278052	6073311	6073448
5270000	5280000	5278063	5278144	6073457	6073538
52750000	52760000	52759697	52759749	53484517	53484465
54290000	54300000	54294228	54294294	54713035	54712969
54290000	54300000	54294694	54294744	54700239	54700189
54290000	54300000	54292001	54292053	54602937	54602885
54290000	54300000	54292422	54292499	54602517	54602440
54290000	54300000	54292501	54292580	54602438	54602359
54290000	54300000	54293184	54293364	54601686	54601506
54290000	54300000	54293532	54293581	54601338	54601289
54290000	54300000	54293681	54293740	54601189	54601130
54290000	54300000	54296143	54296211	54599345	54599277
54290000	54300000	54296213	54296296	54599275	54599192
20220000	20230000	20222828	20222877	20352446	20352495
20220000	20230000	20222229	20222287	20382637	20382579
20220000	20230000	20222289	20222354	20382577	20382512
20220000	20230000	20222222	20222298	20324233	20324157
20220000	20230000	20222628	20222678	20323828	20323778
51210000	51220000	51211877	51211926	51530874	51530825
52690000	52700000	52695475	52695528	52757629	52757682
52690000	52700000	52697497	52697556	52759698	52759757
52690000	52700000	52697558	52697667	52759759	52759868
52690000	52700000	52698764	52698814	52759991	52760041
52690000	52700000	52699109	52699196	52760335	52760422
52690000	52700000	52699675	52699755	52760945	52761025
52690000	52700000	52699775	52699900	52761045	52761170
52690000	52700000	52696033	52696090	52809066	52809123
52690000	52700000	52696292	52696352	52809323	52809383
52690000	52700000	52698866	52698927	52817660	52817721
52690000	52700000	52699143	52699196	52817936	52817989
52690000	52700000	52699139	52699196	52854246	52854303
52690000	52700000	52690923	52690982	52858051	52858110
52690000	52700000	52696040	52696090	52889198	52889248
52690000	52700000	52699103	52699155	52890193	52890245
52690000	52700000	52699135	52699196	52917843	52917904
52690000	52700000	52690927	52690981	52943035	52943089
52690000	52700000	52698866	52698938	53122370	53122442
52690000	52700000	52698867	52698917	53182600	53182650
52690000	52700000	52699101	52699180	53182834	53182913
52690000	52700000	52697497	52697548	53484516	53484465
52690000	52700000	52698889	52698938	53484099	53484050
52690000	52700000	52699138	52699197	53483850	53483791
52690000	52700000	52699136	52699197	53398045	53397984
52690000	52700000	52698866	52698920	53372578	53372524
52690000	52700000	52698986	52699038	53341487	53341435
12350000	12360000	12350091	12350149	12430630	12430688
12350000	12360000	12350431	12350548	12430970	12431087
54600000	54610000	54600686	54600739	54713083	54713136
22090000	22100000	22098729	22098778	22490117	22490166
21820000	21830000	21821873	21821930	23376794	23376851
21940000	21950000	21940797	21940851	22140373	22140427
21940000	21950000	21941363	21941459	22140944	22141040
21940000	21950000	21941461	21941515	22141042	22141096
21940000	21950000	21941984	21942062	22141571	22141649
21940000	21950000	21942064	21942122	22141651	22141709
21940000	21950000	21942192	21942247	22141779	22141834
21940000	21950000	21942249	21942302	22141836	22141889
21940000	21950000	21942332	21942402	22141919	22141989
21940000	21950000	21943937	21943988	22941752	22941803
21940000	21950000	21944310	21944458	22942123	22942271
21940000	21950000	21944463	21944514	22942276	22942327
21940000	21950000	21944622	21944679	22942430	22942487
21940000	21950000	21944758	21944807	22942566	22942615
21940000	21950000	21945478	21945593	22943287	22943402
21940000	21950000	21945665	21945737	22943477	22943549
49970000	49980000	49970318	49970407	51416955	51416866
49970000	49980000	49970530	49970632	51416743	51416641
49970000	49980000	49970688	49970742	51416585	51416531
49970000	49980000	49970883	49970932	51416398	51416349
49970000	49980000	49971162	49971214	51416120	51416068
49970000	49980000	49971306	49971395	51415976	51415887
49970000	49980000	49971397	49971450	51415885	51415832
49970000	49980000	49971495	49971593	51415787	51415689
49970000	49980000	49971627	49971724	51415655	51415558
49970000	49980000	49972192	49972241	51415088	51415039
37260000	37270000	37260555	37260620	37326288	37326353
37260000	37270000	37262099	37262168	37328730	37328799
37260000	37270000	37262730	37262801	37329363	37329434
37260000	37270000	37263199	37263266	37329830	37329897
37260000	37270000	37263902	37263956	37330519	37330573
37260000	37270000	37265673	37265751	37333534	37333612
37260000	37270000	37265753	37265805	37333614	37333666
23320000	23330000	23322471	23322546	23464896	23464971
23320000	23330000	23324991	23325071	23475532	23475612
23320000	23330000	23325397	23325453	23475931	23475987
23320000	23330000	23325613	23325701	23476147	23476235
23320000	23330000	23325965	23326022	23476494	23476551
23320000	23330000	23322461	23322552	24181760	24181669
23320000	23330000	23329602	23329652	23960937	23960887
43070000	43080000	43070825	43070896	43174340	43174411
43070000	43080000	43071216	43071271	43174731	43174786
43070000	43080000	43071494	43071558	43175009	43175073
43070000	43080000	43071994	43072043	43175509	43175558
43070000	43080000	43072394	43072535	43175913	43176054
43070000	43080000	43072955	43073013	43176475	43176533
43070000	43080000	43073069	43073118	43176589	43176638
43070000	43080000	43073226	43073278	43176746	43176798
43070000	43080000	43073362	43073433	43176882	43176953
43070000	43080000	43074597	43074682	43178122	43178207
43070000	43080000	43074809	43074871	43178332	43178394
43070000	43080000	43074985	43075046	43178510	43178571
43070000	43080000	43075061	43075137	43178586	43178662
43070000	43080000	43075245	43075322	43178770	43178847
43070000	43080000	43075636	43075691	43179161	43179216
43070000	43080000	43075723	43075793	43179248	43179318
43070000	43080000	43075856	43075905	43179381	43179430
43070000	43080000	43076095	43076218	43179619	43179742
43070000	43080000	43073147	43073207	43179671	43179731
43070000	43080000	43076266	43076335	43179790	43179859
43070000	43080000	43076474	43076566	43179998	43180090
43070000	43080000	43077093	43077170	43180625	43180702
43070000	43080000	43077172	43077237	43180704	43180769
43070000	43080000	43077313	43077480	43180843	43181010
43070000	43080000	43079055	43079109	43182975	43183029
43070000	43080000	43079115	43079190	43183035	43183110
43070000	43080000	43079420	43079526	43183336	43183442
43070000	43080000	43072444	43072495	43195088	43195139
43070000	43080000	43073069	43073118	43195713	43195762
43070000	43080000	43073226	43073278	43195870	43195922
43070000	43080000	43073362	43073432	43196006	43196076
43070000	43080000	43073500	43073551	43196144	43196195
43070000	43080000	43073915	43073995	43196555	43196635
43070000	43080000	43074155	43074209	43196794	43196848
43070000	43080000	43074809	43074871	43197450	43197512
43070000	43080000	43074985	43075046	43197628	43197689
43070000	43080000	43075243	43075322	43197886	43197965
43070000	43080000	43075345	43075394	43197988	43198037
43070000	43080000	43075593	43075652	43198236	43198295
43070000	43080000	43075682	43075753	43198325	43198396
43070000	43080000	43075856	43075905	43198498	43198547
43070000	43080000	43075952	43076021	43198593	43198662
43070000	43080000	43076124	43076218	43198765	43198859
43070000	43080000	43073147	43073207	43198788	43198848
43070000	43080000	43076248	43076335	43198889	43198976
43070000	43080000	43076516	43076566	43199157	43199207
43070000	43080000	43077172	43077285	43199820	43199933
43070000	43080000	43077313	43077450	43199961	43200098
43070000	43080000	43077611	43077668	43200259	43200316
43070000	43080000	43078930	43079032	43201965	43202067
43070000	43080000	43079115	43079185	43202150	43202220
43070000	43080000	43079429	43079526	43202463	43202560
43070000	43080000	43079830	43079881	43202863	43202914
43070000	43080000	43070825	43070896	43257327	43257398
43070000	43080000	43071216	43071278	43257718	43257780
43070000	43080000	43071320	43071376	43257822	43257878
43070000	43080000	43071592	43071661	43258094	43258163
43070000	43080000	43071663	43071717	43258165	43258219
43070000	43080000	43072164	43072233	43258666	43258735
43070000	43080000	43072618	43072668	43259124	43259174
43070000	43080000	43072758	43072827	43259264	43259333
43070000	43080000	43072924	43073021	43259431	43259528
43070000	43080000	43073159	43073209	43259666	43259716
43070000	43080000	43073915	43073995	43260422	43260502
43070000	43080000	43074484	43074541	43260990	43261047
43070000	43080000	43074984	43075046	43261491	43261553
43070000	43080000	43075077	43075140	43261584	43261647
43070000	43080000	43075243	43075322	43261749	43261828
43070000	43080000	43075330	43075384	43261836	43261890
43070000	43080000	43075615	43075698	43262121	43262204
43070000	43080000	43075735	43075793	43262241	43262299
43070000	43080000	43075856	43075911	43262362	43262417
43070000	43080000	43075995	43076063	43262501	43262569
43070000	43080000	43076516	43076566	43263029	43263079
43070000	43080000	43077172	43077296	43263698	43263822
43070000	43080000	43077298	43077412	43263824	43263938
43070000	43080000	43079115	43079225	43266030	43266140
43070000	43080000	43079553	43079633	43266465	43266545
43070000	43080000	43079740	43079815	43266652	43266727
22300000	22310000	22303827	22303889	22848330	22848392
22300000	22310000	22304707	22304803	22768381	22768285
22300000	22310000	22304835	22304917	22768253	22768171
22300000	22310000	22307345	22307401	22765680	22765624
29920000	29930000	29921289	29921339	50927450	50927400
9650000	9660000	9653746	9653813	9724945	9725012
9650000	9660000	9653849	9653907	9725048	9725106
21990000	22000000	21991402	21991451	22196988	22197037
21990000	22000000	21992652	21992718	22198232	22198298
21990000	22000000	21992989	21993089	22198570	22198670
21990000	22000000	21993148	21993242	22198733	22198827
21990000	22000000	21993290	21993345	22198874	22198929
21990000	22000000	21993566	21993634	22199149	22199217
21990000	22000000	21993951	21994058	22199496	22199603
21990000	22000000	21994586	21994650	22200159	22200223
21990000	22000000	21994760	21994834	22200333	22200407
21990000	22000000	21995768	21995822	22201233	22201287
21990000	22000000	21995890	21995970	22201351	22201431
21990000	22000000	21996010	21996063	22201472	22201525
21990000	22000000	21997501	21997642	22202980	22203121
21990000	22000000	21997644	21997764	22203123	22203243
21990000	22000000	21997942	21998075	22203420	22203553
21990000	22000000	21998850	21998905	22204011	22204066
21990000	22000000	21999364	21999417	22204464	22204517
21990000	22000000	21999521	21999581	22204621	22204681
21990000	22000000	21999922	21999985	22205021	22205084
21990000	22000000	21991393	21991442	22988704	22988753
21990000	22000000	21991996	21992051	22989324	22989379
21990000	22000000	21993043	21993110	22990370	22990437
21990000	22000000	21993290	21993345	22990618	22990673
21990000	22000000	21993843	21993899	22991170	22991226
21990000	22000000	21994163	21994219	22991478	22991534
21990000	22000000	21995263	21995312	22992557	22992606
21990000	22000000	21995884	21995989	22993216	22993321
21990000	22000000	21996013	21996090	22993350	22993427
21990000	22000000	21996110	21996187	22993447	22993524
21990000	22000000	21997683	21997766	22995005	22995088
21990000	22000000	21998866	21998919	22995866	22995919
21990000	22000000	21999359	21999449	22996301	22996391
21990000	22000000	21993847	21993899	23377732	23377784
41590000	41600000	41596182	41596236	41786813	41786867
41590000	41600000	41596178	41596266	42566442	42566354
14380000	14390000	14380400	14380458	14778668	14778610
14380000	14390000	14380524	14380660	14778537	14778401
14380000	14390000	14380978	14381035	14777311	14777254
14380000	14390000	14381339	14381414	14776946	14776871
14380000	14390000	14381657	14381753	14776611	14776515
14380000	14390000	14381822	14381873	14776446	14776395
14380000	14390000	14388337	14388602	14774419	14774154
14380000	14390000	14388623	14388724	14774133	14774032
14380000	14390000	14388726	14388801	14774030	14773955
14380000	14390000	14388874	14388948	14773880	14773806
610000	620000	619705	619769	15903065	15903129
22370000	22380000	22370157	22370213	23624019	23623963
22370000	22380000	22374742	22374831	23164550	23164461
22370000	22380000	22370252	22370315	22698092	22698029
22370000	22380000	22370448	22370513	22697896	22697831
22370000	22380000	22371684	22371736	22696400	22696348
22370000	22380000	22371820	22371961	22696264	22696123
22370000	22380000	22372459	22372518	22695316	22695257
22370000	22380000	22372631	22372691	22695165	22695105
22740000	22750000	22744440	22744516	23601297	23601221
22290000	22300000	22290274	22290344	22780019	22779949
22290000	22300000	22299022	22299071	22774379	22774330
22290000	22300000	22299869	22299920	22773846	22773795
22290000	22300000	22291499	22291554	22417713	22417658
50140000	50150000	50141884	50141987	50624451	50624348
50140000	50150000	50141989	50142066	50624346	50624269
50140000	50150000	50142384	50142440	50623950	50623894
50140000	50150000	50140134	50140191	50605153	50605096
22170000	22180000	22175025	22175085	22970755	22970815
22170000	22180000	22175792	22175847	22971507	22971562
22170000	22180000	22175997	22176081	22971715	22971799
22170000	22180000	22176133	22176221	22971851	22971939
